Family_No,g_score,gf_score,gc_score,g_score_family,gf_score_family,gc_score_family,Age,Gender,Handedness,FD_mean,Spikes_mean
119,-0.675986062926426,0.452842476027867,-1.62849994913571,-0.709536137953966,-0.0655921603241745,-1.26732203829122,23,0,-90,0.070295435376818,1.94444444444444
119,-0.743086212981505,-0.584026796676216,-0.906144127446734,-0.709536137953966,-0.0655921603241745,-1.26732203829122,33,1,55,0.0608734604158442,27.7222222222222
382,-0.697915091793116,-0.455192960579038,-1.34498385492724,-0.697915091793116,-0.455192960579038,-1.34498385492724,29,0,95,0.0841540474856013,2.22222222222222
29,-0.31218040806807,0.425347108888643,-0.319784588055147,-0.659780071461529,-0.209825009974635,-0.231622972139541,32,0,80,0.06022481493065,1.61111111111111
29,-1.73932572267423,-1.55883339788922,-0.89969817712599,-0.659780071461529,-0.209825009974635,-0.231622972139541,28,0,80,0.0494565715541834,0.166666666666667
29,-0.984618789472882,-0.0835143634455417,-0.675747135332047,-0.659780071461529,-0.209825009974635,-0.231622972139541,29,1,75,0.101187538535797,7.55555555555556
29,0.397004634369068,0.377700612547578,0.968738011955021,-0.659780071461529,-0.209825009974635,-0.231622972139541,28,1,85,0.0683550750899694,0.555555555555556
66,-0.646009850665579,-0.216480854161096,-0.847039572614478,-0.646009850665579,-0.216480854161096,-0.847039572614478,25,0,80,0.0921657986498545,30.3888888888889
80,0.113473740135226,1.3314753013893,-0.334545041089118,-0.645854356773502,0.336735791490632,-1.09478998896568,28,0,50,0.101908921747668,4.27777777777778
80,-1.40518245368223,-0.658003718408036,-1.85503493684225,-0.645854356773502,0.336735791490632,-1.09478998896568,27,1,80,0.0996587088427436,3.44444444444444
142,-1.03977655425219,-0.75778422947037,0.33852137005324,-0.640138956613754,-0.65812563904813,0.24109803381112,28,1,70,0.0842306558355427,0.555555555555556
142,-0.270203060490613,0.0567810766545937,0.0725930129722572,-0.640138956613754,-0.65812563904813,0.24109803381112,23,0,100,0.0974772791154934,22.8333333333333
142,-0.380194918613787,-0.709498804382622,0.277535815294892,-0.640138956613754,-0.65812563904813,0.24109803381112,27,1,-95,0.0977721133362909,9.38888888888889
142,-0.870381293098424,-1.22200059899412,0.27574193692409,-0.640138956613754,-0.65812563904813,0.24109803381112,26,1,-75,0.0784819856158322,5.22222222222222
254,-0.636123240809406,-0.675146043826714,-0.623112053434001,-0.636123240809406,-0.675146043826714,-0.623112053434001,31,1,60,0.0542691186494613,3.55555555555556
252,-0.37055496161985,-0.144760812484507,-0.48321694871426,-0.609368365992375,-0.373747230674382,-0.394366000387949,35,0,-70,0.112078776536895,0.666666666666667
252,-0.848181770364899,-0.602733648864258,-0.305515052061638,-0.609368365992375,-0.373747230674382,-0.394366000387949,31,0,90,0.0969692441047795,8.33333333333333
78,-0.0178731562503514,0.387777533188418,-0.747289997430578,-0.605970636289023,0.193527468938111,-1.33027529370056,33,0,-50,0.127467116281679,0.166666666666667
78,-1.63083993491105,-0.267821836162347,-2.03163438197976,-0.605970636289023,0.193527468938111,-1.33027529370056,28,0,80,0.126078648579675,0.5
78,-0.169198817705667,0.460626709788261,-1.21190150169134,-0.605970636289023,0.193527468938111,-1.33027529370056,29,1,55,0.0899262047932505,0.0555555555555555
332,-0.572315636513643,-0.260489571423324,-1.28989606741023,-0.572315636513643,-0.260489571423324,-1.28989606741023,32,0,80,0.126486033001152,11.7777777777778
347,-0.559744383052077,-0.462229186117128,0.0853234379646848,-0.559744383052077,-0.462229186117128,0.0853234379646848,27,0,85,0.0632669966740285,0.277777777777778
49,-0.55866814498469,-0.446822443419324,0.137402091276367,-0.55866814498469,-0.446822443419324,0.137402091276367,31,1,80,0.0971068440311509,13.3333333333333
250,-0.662586262221777,-0.458625616894773,-0.358075091342949,-0.548318486074334,-0.852469123148506,0.170452891995885,28,1,70,0.0911865747283733,0.611111111111111
250,-0.434050709926891,-1.24631262940224,0.698980875334719,-0.548318486074334,-0.852469123148506,0.170452891995885,23,1,60,0.090206817562574,11.9444444444444
369,-0.822532902417158,-0.693096152038206,-0.106575968103927,-0.541010571756397,-0.732949204937676,0.174566415376107,32,1,70,0.123906986929534,26.5555555555556
369,-0.259488241095636,-0.772802257837147,0.45570879885614,-0.541010571756397,-0.732949204937676,0.174566415376107,34,1,90,0.052523993444354,5.55555555555556
126,-0.890394996221805,-1.21542180507664,-1.20931958770673,-0.526914895391854,-0.559490989941298,-1.17807975268023,28,1,60,0.088372353212346,6.38888888888889
126,-0.163434794561902,0.0964398251940451,-1.14683991765373,-0.526914895391854,-0.559490989941298,-1.17807975268023,33,1,70,0.0781657086318924,20.2222222222222
357,-0.512955580083494,-0.18710970510906,0.160673564325337,-0.512955580083494,-0.18710970510906,0.160673564325337,23,1,75,0.103853709198181,0.666666666666667
299,-0.509397815274935,-0.0087531782938535,-0.131517319874352,-0.509397815274935,-0.0087531782938535,-0.131517319874352,32,0,90,0.0964513200250118,3.61111111111111
283,-0.48412932346757,0.336559402965633,0.325635868131335,-0.48412932346757,0.336559402965633,0.325635868131335,29,1,75,0.0751418472422196,2.05555555555556
